,Company,sector,annual_return_log,Std,Skewness,Kurtosis
130,CMI,Industrials,0.3268991207340728,0.4460924337731066,0.690331568414256,10.673634673348507
131,CVS,Health Care,-0.0556452819410477,0.4106218815071969,-0.4692266391559291,5.944991641250105
132,DHI,Consumer Discretionary,0.27892258946587317,0.6231894220240825,-0.8632802682513383,6.090064092336808
133,DHR,Health Care,0.3543384563480115,0.3479989500185793,-0.31500485730670863,4.247221606229721
134,DRI,Consumer Discretionary,0.026737708168570656,0.8582456120359375,-0.2809121900565216,7.941164055087235
135,DVA,Health Care,0.3964815169383197,0.4290236033087656,0.053967949721637834,1.9951072206510343
136,DE,Industrials,0.49508809217903144,0.47328030571977914,-0.5375775721864384,4.713812915617743
137,DAL,Industrials,-0.43455356382073795,0.8464853900979751,-0.6964925594724067,6.5031115458031294
138,XRAY,Health Care,-0.14733222975058594,0.500584803134729,-0.005879501613512361,2.697899581343756
139,DVN,Energy,-0.4618585617378798,1.0326967089126602,-1.4086972770245831,11.222041260284227
140,DXCM,Health Care,0.4457424092573738,0.575387068974292,-0.5691472313398326,3.54733963305957
141,FANG,Energy,-0.6992346805762014,1.1303296172780217,-2.2152521501093934,20.386470967909503
142,DLR,Real Estate,0.10633183955878761,0.4476823221956498,0.005706107570406916,4.217840966732525
143,DFS,Financials,0.08073963853061474,0.893215606902376,-1.1004551413618182,8.697535013177864
144,DISCA,Communication Services,-0.16584732506200303,0.5332157962216598,-0.3645305282778293,0.9517106827917745
145,DISCK,Communication Services,-0.2412049974135331,0.530082501652469,-0.38279809792618563,1.239165961087144
146,DISH,Communication Services,-0.23181717301113447,0.6588257420936722,-0.4480055433919423,3.296473846991466
147,DG,Consumer Discretionary,0.3260421294768635,0.3192634525185465,0.2580166461635255,9.540168223341592
148,DLTR,Consumer Discretionary,0.24356106810559594,0.492949128668444,-0.5320806486670225,9.359298984820262
149,D,Utilities,-0.08580173063680327,0.4674548060950731,-0.27058483409140793,8.53401604188083
150,DPZ,Consumer Discretionary,0.36789387028856796,0.43418821673567354,2.246083707094982,21.05446691891002
151,DOV,Industrials,0.07569141391393477,0.48638881478081697,-1.0502164601501458,8.546365253083298
152,DOW,Materials,0.11482104777059815,0.6535776727169638,-1.0423360008931686,7.953153898079002
153,DTE,Utilities,-0.09488487546461712,0.5002271270489281,-0.8004337249767017,6.343454443211231
154,DUK,Utilities,-0.024330379526619976,0.42947825163585546,-0.04633698932484339,5.651652398210322
155,DRE,Real Estate,0.11312795491258552,0.48747704493329774,-0.6078909725535382,10.350753453682376
156,DD,Materials,0.16882507191750182,0.5304751966771913,-0.3307476233736298,3.2408195526381745
157,DXC,Information Technology,-0.43231454430036764,0.9748684578015446,0.33988397777997964,9.397154006510657
158,EMN,Materials,0.3727230779519559,0.5352287118818603,-0.7251731748714367,4.208352627748195
159,ETN,Industrials,0.2677327059909462,0.5303743204931155,0.40825272415795616,8.312808875357788
160,EBAY,Consumer Discretionary,0.41926658362068936,0.3946872266555465,-0.2051892702970026,0.6513936931315571
161,ECL,Materials,0.11503995202256725,0.5006949123565392,0.2302167589485204,9.421201114097483
162,EIX,Utilities,-0.22488461254696002,0.47140879252654017,-0.40546687346509386,4.916728083857243
163,EW,Health Care,0.0648007714330217,0.45517193682399804,0.29744777478732937,5.074903590356515
164,EA,Communication Services,0.24437598402777974,0.37647554741607225,-0.07529928196997618,3.385143132135325
165,EMR,Industrials,0.07949331699918676,0.5668858002606646,-1.0119831303419187,8.199014188378785
166,ETR,Utilities,-0.2563396030571479,0.48924868266792054,-0.5916885124461914,7.869195153563737
167,EOG,Energy,-0.5187962189117645,0.7996529210089471,-1.6854050894580095,14.453667657120274
168,EFX,Industrials,0.26160867426200807,0.43356462285635305,-0.10978565184357715,1.8422858603560908
169,EQIX,Real Estate,0.20623392363046855,0.4199047559207473,-0.10105827047934166,4.79768676845463
